Country,City,Month,Day,Year,AvgTemperature
Malawi,Lilongwe,5,22,1995,72.2
Malawi,Lilongwe,5,23,1995,75.3
Malawi,Lilongwe,5,24,1995,71.1
Malawi,Lilongwe,5,25,1995,-99
Malawi,Lilongwe,5,26,1995,64.5
Malawi,Lilongwe,5,27,1995,69.3
Malawi,Lilongwe,5,28,1995,69.7
Malawi,Lilongwe,5,29,1995,66.4
Malawi,Lilongwe,5,30,1995,-99
Malawi,Lilongwe,5,31,1995,-99
Malawi,Lilongwe,6,1,1995,-99
Malawi,Lilongwe,6,2,1995,63.5
Malawi,Lilongwe,6,3,1995,-99
Malawi,Lilongwe,6,4,1995,66.1
Malawi,Lilongwe,6,5,1995,61.2
Malawi,Lilongwe,6,6,1995,62.5
Malawi,Lilongwe,6,7,1995,67.3
Malawi,Lilongwe,6,8,1995,64.2
Malawi,Lilongwe,6,9,1995,54.9
Malawi,Lilongwe,6,10,1995,65.8
Malawi,Lilongwe,6,11,1995,66.5
Malawi,Lilongwe,6,12,1995,65.3
Malawi,Lilongwe,6,13,1995,57.9
Malawi,Lilongwe,6,14,1995,60.5
Malawi,Lilongwe,6,15,1995,63.8
Malawi,Lilongwe,6,16,1995,61.1
Malawi,Lilongwe,6,17,1995,-99
Malawi,Lilongwe,6,18,1995,-99
Malawi,Lilongwe,6,19,1995,66
Malawi,Lilongwe,6,20,1995,58.7
Malawi,Lilongwe,6,21,1995,53.8
Malawi,Lilongwe,6,22,1995,59.2
Malawi,Lilongwe,6,23,1995,60.4
Malawi,Lilongwe,6,24,1995,63.2
Malawi,Lilongwe,6,25,1995,56.3
Malawi,Lilongwe,6,26,1995,60
Malawi,Lilongwe,6,27,1995,61.3
Malawi,Lilongwe,6,28,1995,60.8
Malawi,Lilongwe,6,29,1995,67.6
Malawi,Lilongwe,6,30,1995,-99
Malawi,Lilongwe,7,1,1995,-99
Malawi,Lilongwe,7,2,1995,-99
Malawi,Lilongwe,7,3,1995,-99
Malawi,Lilongwe,7,4,1995,58.9
Malawi,Lilongwe,7,5,1995,-99
Malawi,Lilongwe,7,6,1995,-99
Malawi,Lilongwe,7,7,1995,-99
Malawi,Lilongwe,7,8,1995,-99
Malawi,Lilongwe,7,9,1995,-99
Malawi,Lilongwe,7,10,1995,-99
Malawi,Lilongwe,7,11,1995,-99
Malawi,Lilongwe,7,12,1995,-99
Malawi,Lilongwe,7,13,1995,62.8
Malawi,Lilongwe,7,14,1995,-99
Malawi,Lilongwe,7,15,1995,-99
Malawi,Lilongwe,7,16,1995,-99
Malawi,Lilongwe,7,17,1995,-99
Malawi,Lilongwe,7,18,1995,60.4
Malawi,Lilongwe,7,19,1995,63.5
Malawi,Lilongwe,7,20,1995,61.1
Malawi,Lilongwe,7,21,1995,60.8
Malawi,Lilongwe,7,22,1995,62.4
Malawi,Lilongwe,7,23,1995,67.6
Malawi,Lilongwe,7,24,1995,62.7
Malawi,Lilongwe,7,25,1995,60.2
Malawi,Lilongwe,7,26,1995,66.9
Malawi,Lilongwe,7,27,1995,-99
Malawi,Lilongwe,7,28,1995,62.8
Malawi,Lilongwe,7,29,1995,63.5
Malawi,Lilongwe,7,30,1995,59.9
Malawi,Lilongwe,7,31,1995,64.9
Malawi,Lilongwe,8,1,1995,62.5
Malawi,Lilongwe,8,2,1995,64.6
Malawi,Lilongwe,8,3,1995,65.8
Malawi,Lilongwe,8,4,1995,68.2
Malawi,Lilongwe,8,5,1995,66.3
Malawi,Lilongwe,8,6,1995,65.5
Malawi,Lilongwe,8,7,1995,64.6
Malawi,Lilongwe,8,8,1995,61.9
Malawi,Lilongwe,8,9,1995,61.2
Malawi,Lilongwe,8,10,1995,60.7
Malawi,Lilongwe,8,11,1995,63.4
Malawi,Lilongwe,8,12,1995,60.2
Malawi,Lilongwe,8,13,1995,59.2
Malawi,Lilongwe,8,14,1995,62
Malawi,Lilongwe,8,15,1995,66
Malawi,Lilongwe,8,16,1995,60.8
Malawi,Lilongwe,8,17,1995,61.9
Malawi,Lilongwe,8,18,1995,64.4
Malawi,Lilongwe,8,19,1995,64.6
Malawi,Lilongwe,8,20,1995,68.4
Malawi,Lilongwe,8,21,1995,67.2
Malawi,Lilongwe,8,22,1995,73.4
Malawi,Lilongwe,8,23,1995,70
Malawi,Lilongwe,8,24,1995,71.3
Malawi,Lilongwe,8,25,1995,67.3
Malawi,Lilongwe,8,26,1995,64.8
Malawi,Lilongwe,8,27,1995,64.2
Malawi,Lilongwe,8,28,1995,65
Malawi,Lilongwe,8,29,1995,64.3
Malawi,Lilongwe,8,30,1995,59.1
Malawi,Lilongwe,8,31,1995,67.2
Malawi,Lilongwe,9,1,1995,64.4
Malawi,Lilongwe,9,2,1995,61.3
Malawi,Lilongwe,9,3,1995,68.4
Malawi,Lilongwe,9,4,1995,69.6
Malawi,Lilongwe,9,5,1995,70.1
Malawi,Lilongwe,9,6,1995,63.2
Malawi,Lilongwe,9,7,1995,60.4
Malawi,Lilongwe,9,8,1995,61.5
Malawi,Lilongwe,9,9,1995,65.5
Malawi,Lilongwe,9,10,1995,65.3
Malawi,Lilongwe,9,11,1995,68.9
Malawi,Lilongwe,9,12,1995,65.3
Malawi,Lilongwe,9,13,1995,70.4
Malawi,Lilongwe,9,14,1995,67.3
Malawi,Lilongwe,9,15,1995,64.8
Malawi,Lilongwe,9,16,1995,63.1
Malawi,Lilongwe,9,17,1995,-99
Malawi,Lilongwe,9,18,1995,-99
Malawi,Lilongwe,9,19,1995,-99
Malawi,Lilongwe,9,20,1995,-99
Malawi,Lilongwe,9,21,1995,-99
Malawi,Lilongwe,9,22,1995,-99
Malawi,Lilongwe,9,23,1995,-99
Malawi,Lilongwe,9,24,1995,64.4
Malawi,Lilongwe,9,25,1995,-99
Malawi,Lilongwe,9,26,1995,-99
Malawi,Lilongwe,9,27,1995,-99
Malawi,Lilongwe,9,28,1995,-99
Malawi,Lilongwe,9,29,1995,-99
Malawi,Lilongwe,9,30,1995,-99
Malawi,Lilongwe,10,1,1995,-99
Malawi,Lilongwe,10,2,1995,78.3
Malawi,Lilongwe,10,3,1995,71.8
Malawi,Lilongwe,10,4,1995,71.4
Malawi,Lilongwe,10,5,1995,69.2
Malawi,Lilongwe,10,6,1995,71.8
Malawi,Lilongwe,10,7,1995,72.5
Malawi,Lilongwe,10,8,1995,68.8
Malawi,Lilongwe,10,9,1995,71.5
Malawi,Lilongwe,10,10,1995,-99
Malawi,Lilongwe,10,11,1995,72.4
Malawi,Lilongwe,10,12,1995,71
Malawi,Lilongwe,10,13,1995,71.8
Malawi,Lilongwe,10,14,1995,71.7
Malawi,Lilongwe,10,15,1995,74.2
Malawi,Lilongwe,10,16,1995,71.2
Malawi,Lilongwe,10,17,1995,70.2
Malawi,Lilongwe,10,18,1995,74.8
Malawi,Lilongwe,10,19,1995,81.5
Malawi,Lilongwe,10,20,1995,75.7
Malawi,Lilongwe,10,21,1995,75.9
Malawi,Lilongwe,10,22,1995,75.4
Malawi,Lilongwe,10,23,1995,78
Malawi,Lilongwe,10,24,1995,77
Malawi,Lilongwe,10,25,1995,77.1
Malawi,Lilongwe,10,26,1995,79.7
Malawi,Lilongwe,10,27,1995,76.8
Malawi,Lilongwe,10,28,1995,76.9
Malawi,Lilongwe,10,29,1995,79.6
Malawi,Lilongwe,10,30,1995,74.9
Malawi,Lilongwe,10,31,1995,71.8
Malawi,Lilongwe,11,1,1995,69.3
Malawi,Lilongwe,11,2,1995,76.2
Malawi,Lilongwe,11,3,1995,73.9
